"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.max"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"s.hats.4"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"w.hats.4"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	-0.411999887018465	0.115735474741086	-0.462929459512606	0.856003493961153	-0.4568	-0.46673	-0.52991	-0.39827	0.98498	0.09349	16.21564	-1.87239	-0.50304181384683	-0.75035	-0.75802	-0.33268	-0.17111	-0.08149	0.79317	-17.99548	-1.82904	-0.704742871336937	-0.69708	-0.72416	-0.76987	-0.62785	0.75036	0.38108	-6.26687	-21.46472
"stick"	4	-0.201787514262833	0.0511797982035205	-0.386819962298222	0.451374895283638	-0.44126	-0.32123	-0.39257	-0.39222	0.9851	0.03643	31.29567	-3.74337	-0.341343848806481	-0.37701	-0.30429	-0.35059	-0.33348	0.66421	0.17291	6.37712	-19.42738	-0.279556648158838	-0.3125	-0.24314	-0.28645	-0.27613	0.81928	0.12685	11.3334	-14.01062
"stick"	4	-0.486269709502812	0.109868738625664	-0.491971328286457	0.983909310592837	-0.49847	-0.53439	-0.47728	-0.45774	0.97767	0.14424	9.27786	-3.67024	-0.131784050993298	-0.14551	-0.18758	-0.0946	-0.09944	-1.52666	1.53416	-28.55076	-4.81378	-0.883070615782549	-0.87221	-0.92101	-0.87324	-0.86583	0.73274	0.49896	-10.57929	-17.49654
"stick"	4	-0.0623711030813865	0.106796537293121	-0.140702983815348	0.299924516415226	-0.11049	0.1236	-0.46566	-0.11025	0.07617	0.14692	8.98329	-10.63125	-0.0780906158489373	-0.08895	0.02598	-0.16625	-0.08315	0.28667	0.1291	11.05196	-5.71256	-0.0657511637858561	-0.07069	0.02665	-0.15133	-0.06763	0.2809	0.12962	10.9875	-7.03464
"stick"	4	-0.243108646082692	0.241755545430351	-0.243754715613136	0.932188087186695	-0.15221	-0.25402	-0.31322	-0.25556	0.79055	0.17063	6.58956	-1.79345	-0.354399620581593	-0.25535	-0.33275	-0.43961	-0.38989	0.52775	0.2562	0.08547	-6.05436	-0.322426972827847	-0.22821	-0.33178	-0.39243	-0.33729	0.69445	0.20608	3.56864	-1.99083
"stick"	4	-0.109059918415733	0.206035964423791	-0.296972839243839	0.605310670348977	-0.40503	0.16038	-0.38231	-0.56093	-0.57211	0.38099	-6.26339	-14.0155	-0.234824196228319	-0.22592	-0.16978	-0.21079	-0.33281	0.15232	0.27976	-1.32202	-5.64953	-0.182668087416972	-0.20344	-0.0453	-0.1877	-0.29423	0.28977	0.25608	0.0933	-9.07904
"stick"	4	-0.355244795104954	0.0687941473443061	-0.396052131213027	0.879282305873142	-0.37359	-0.42337	-0.42395	-0.3633	0.99069	0.05731	24.04611	-4.97992	-0.433302704613701	-0.40693	-0.46586	-0.48396	-0.37646	0.15015	0.54756	-12.06649	-0.83007	-0.561382910681171	-0.54505	-0.58707	-0.5943	-0.51912	0.81771	0.2536	0.24919	-22.73755
"stick"	4	-0.158164929028135	0.0337253030738793	-0.235005337526057	0.615286844041601	-0.22803	-0.26114	-0.23698	-0.21387	0.98973	0.01998	40.90321	-1.81144	-0.292409225345628	-0.29121	-0.31633	-0.29009	-0.272	0.39904	0.15284	8.35122	-27.86451	-0.19556382263394	-0.19161	-0.2166	-0.19547	-0.17858	0.90339	0.06128	22.97391	-13.13002
"stick"	4	-0.340821133775171	0.0720994190196507	-0.387713736423608	0.862988760988691	-0.37958	-0.38793	-0.37414	-0.40921	0.99285	0.04805	26.86534	-2.75952	-0.386554004279611	-0.36183	-0.37371	-0.39204	-0.41864	0.09824	0.5397	-11.83525	-0.67973	-0.539519962869227	-0.52402	-0.53645	-0.52302	-0.57459	0.81578	0.24393	0.87068	-21.81435
"stick"	4	-0.211329987482168	0.0382537457044236	-0.252613681881093	0.832189379033446	-0.21656	-0.29086	-0.24873	-0.2543	0.99141	0.02734	35.8863	-4.75086	-0.399091088256495	-0.36579	-0.43977	-0.40239	-0.38841	0.63353	0.17857	5.86108	-20.57215	-0.291070549276305	-0.25682	-0.329	-0.28977	-0.28868	0.89314	0.09643	15.7204	-23.07412
