"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"u.hats.mut.4"	"u.hats.mut.5"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"s.hats.mut.4"	"s.hats.mut.5"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"w.hats.mut.4"	"w.hats.mut.5"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"mult"	5	0.11628316208953	0.165484240045771	0.184316504547075	1.62776377650356	0.21263	0.20917	0.21214	0.1884	0.09923	-3.65693	0.43157	-5.94338	0	0.248700251992387	0.2913	0.27956	0.29418	0.24954	0.12893	-18.01218	0.872	-14.38372	0	0.272751641490302	0.31696	0.30872	0.31938	0.27616	0.14255	-7.31899	0.57682	-9.42449	0
"mult"	5	0.271304844587576	0.059854480670765	0.355784574958433	2.57861466349496	0.37546	0.34735	0.35366	0.35819	0.34427	0.45957	0.56617	-9.20088	0	0.280069169571257	0.28038	0.26209	0.30382	0.30331	0.25075	0.9858	0.09178	12.63302	0	0.409612829139073	0.42936	0.38788	0.42533	0.42893	0.37656	0.97956	0.1101	10.44883	0
"mult"	5	0.438671331002843	0.192535733105615	0.386578767562703	5.2671249175877	0.40906	0.43455	0.36062	0.38048	0.34818	0.18779	1.47453	-20.68732	0	0.412004394599136	0.55523	0.65678	0.23399	0.34083	0.27318	0.95897	0.33141	-2.77444	0	0.797995993448777	0.95254	1.09347	0.60861	0.73052	0.60484	0.95521	0.34625	-3.30029	0
"mult"	5	0.16927323731361	0.191596413322259	0.194378083184057	1.91225444320679	0.08961	0.21403	0.18776	0.14489	0.33559	0.57335	0.30142	-1.63636	0	0.177806371448192	-0.16641	0.20742	0.20005	0.19792	0.45005	0.52764	0.31716	-2.24707	0	0.247669046511785	-0.03858	0.27565	0.25044	0.22292	0.52791	0.7491	0.23115	1.54892	0
"mult"	5	0.0621729411650449	0.120345257106237	0.291862483154341	0.701732636268802	0.32003	0.07553	0.45452	0.28424	0.325	-0.94017	0.29335	-1.31063	0	0.0698785365302124	0.06277	-0.06079	0.22421	0.04103	0.08217	0.66279	0.1223	9.18831	0	0.096696591483726	0.0987	-0.04425	0.24424	0.07286	0.11194	0.37501	0.1665	5.4861	0
"mult"	5	0.154001512099057	0.00612061080755666	0.307192434501714	1.24932199035823	0.31465	0.30859	0.30229	0.30502	0.30541	0.65736	0.20907	2.75401	0	0.152727480483979	0.16299	0.15209	0.14541	0.15115	0.152	0.99921	0.01006	39.16084	0	0.191865711471068	0.20246	0.19182	0.18445	0.1899	0.1907	0.98805	0.03904	22.89151	0
"mult"	5	0.313645930704661	0.162363592011388	0.357471283849336	3.12203721692014	0.34299	0.28096	0.3576	0.40695	0.39885	0.43165	0.73366	-12.31074	0	0.287187519602955	0.20611	0.08602	0.29506	0.43096	0.41779	0.93391	0.25018	0.5995	0	0.462456407412602	0.38382	0.22715	0.46556	0.62809	0.60766	0.95692	0.20198	3.16774	0
"mult"	5	0.0703721976373345	0.222642089531291	0.133391043026947	0.83899367620607	0.15167	0.32552	-0.03619	0.1128	0.11315	-0.05606	0.14605	7.05819	0	0.118658919755521	0.11391	0.22974	0.04228	0.08785	0.11951	-1.82167	0.23874	1.16151	0	0.119503490435374	0.11882	0.24427	0.0277	0.09042	0.1163	-0.63837	0.18192	4.42329	0
"mult"	5	0.340739957662299	0.000706524820998311	0.383994482257599	3.76506000200326	0.38395	0.38388	0.38384	0.3841	0.3842	0.13446	1.05048	-16.61825	0	0.340269315600328	0.34016	0.3399	0.3397	0.34041	0.34118	0.99999	0.00415	49.78588	0	0.593535523029379	0.59339	0.59307	0.59287	0.59382	0.59452	0.95645	0.23563	1.31878	0
"mult"	5	0.142992224788759	0.172884975851048	0.350430419104903	1.18706192650282	0.2386	0.32909	0.37125	0.40985	0.40337	-0.20953	0.34902	-3.39584	0	0.169153300686696	0.09441	0.11966	0.14237	0.26147	0.22785	0.53119	0.21729	2.29083	0	0.218601974370729	0.122	0.17188	0.20899	0.30856	0.28157	0.50368	0.22358	1.94875	0
"mult"	5	0.288145178649575	0.226304760377388	0.353012372937584	3.07766868327366	0.44648	0.32679	0.33168	0.298	0.36212	0.41375	0.75066	-12.58556	0	0.254567924722026	0.52864	0.22259	0.22767	0.04797	0.24597	0.80365	0.43443	-6.02254	0	0.431014659445996	0.74922	0.37336	0.38251	0.21705	0.43294	0.92847	0.26221	0.03621	0
"mult"	5	0.332245146797504	0.227519273757935	0.400198620318347	3.53198179555742	0.41189	0.34576	0.39264	0.44691	0.40379	-0.01823	1.01563	-16.21332	0	0.405049161439908	0.49326	0.20855	0.49855	0.54045	0.28444	0.4465	0.7488	-12.55591	0	0.647447627492322	0.72427	0.42068	0.70104	0.81836	0.57289	0.80709	0.44206	-6.23161	0
"mult"	5	0.482445233687758	0.106627960747574	0.40885347098656	6.74436811532124	0.40433	0.41392	0.4101	0.40529	0.41064	-0.14524	2.17601	-25.3572	0	0.490035035837553	0.41974	0.4842	0.61026	0.5137	0.42227	0.98337	0.26222	0.03581	0	1.07610374770191	1.013	1.0917	1.15892	1.07612	1.04077	0.91935	0.57744	-9.43744	0
"mult"	5	0.220130674424581	0.0652742135571316	0.341816142745066	1.96382419850371	0.38209	0.34473	0.31308	0.31191	0.35727	0.4838	0.41731	-5.54002	0	0.22032970162179	0.28917	0.2484	0.18988	0.1613	0.2129	0.99168	0.05297	19.22797	0	0.307569164068824	0.38621	0.33022	0.26572	0.24319	0.3125	0.97755	0.08702	13.27154	0
"mult"	5	0.178584961139131	0.226441400242038	0.109208565990481	2.43770814778633	0.20074	0.02813	0.09034	0.24212	-0.01528	0.83124	0.251	0.56059	0	0.0866243019505674	0.32275	-0.13948	-0.06966	0.36567	-0.04616	-0.00775	0.61335	-10.16135	0	0.161082015890167	0.39149	-0.05934	0.051	0.4654	-0.04315	0.64101	0.36608	-3.9683	0
